Sl No,Bus Stop Name,New Km,Sem Fees,Route,R.No
42,ARAICHI,42,9250,COLLEGE TO ARAICHI,20
43,ARANGOOR,9,4500,COLLEGE TO ARANGOOR,50
44,ARAPPALIPATTI,30,7750,COLLEGE TO PANJAPPATTI,29
45,ARASALUR,6,4500,COLLEGE TO KATTUPUTHUR,40
46,ARASANATHAM,22,7500,COLLEGE TO THOPUR,37
47,ARASU,49,9750,COLLEGE TO PANJAPPATTI,29
48,ARAVINTH COLLEGE,12,5500,COLLEGE TO THOPUR,37
49,ARUR,18,6500,COLLEGE TO THOPUR,37
50,ARUR PUTHUR,18,6500,COLLEGE TO THOPUR,37
51,ARUVANKATTUR,34,8250,COLLEGE TO PALAPATTI,24
52,ATHANI,54,10250,COLLEGE TO MANACHANALLUR,9
53,ATHUKUTTIPALAM,48,9750,COLLEGE TO KARAVALLI,11
54,AYYAMPALAYAM,29,7750,COLLEGE TO MANACHANALLUR,9
55,AYYAPPAN KOVIL,38,8750,COLLEGE TO KONDICHETTIPATTI,31
56,AYYATHU PALAM,44,9250,COLLEGE TO SOUTH SITHAMPUR,22
57,BALAPURAM,13,5500,"COLLEGE TO MELUR, KIDARAM",39
58,BALASAMUTHURAM,4,3500,COLLEGE TO ARANGOOR,50
59,BELUKURICHI,57,10500,COLLEGE TO BELUKURICHI,10
60,BHARATHI NAGAR,20,6500,COLLEGE TO 4 TH MAIL,33
61,BHARATHI PURAM,6,4500,COLLEGE TO THOPUR,37
62,BHARATHI PURAM MEDU,6,4500,COLLEGE TO THOPUR,37
63,BHEL,78,11500,COLLEGE TO BHEL,1
64,BODINAICKAN PATTI,34,8250,COLLEGE TO PALAYAPALAYAM,30
65,BOMMAI KUTTAI MEDU,42,9250,COLLEGE TO RASIPURAM,5
66,BOTHA METTUPATTI,61,10750,COLLEGE TO MANAPARAI,7
67,BOTHARATHAMPATTI,50,9750,COLLEGE TO PANJAPPATTI,29
68,BUNK,48,9750,COLLEGE TO PANJAPPATTI,29
69,BUTHAN SANDHAI,47,9750,COLLEGE TO THIRUMALAI PATTI,14
70,CEMENT FACTORY,28,7750,COLLEGE to KARUR,25
71,CENTRAL BUS STAND,62,10750,COLLEGE TO SOMARASAMPETTAI,3
72,CETTINADU COLLEGE,30,7750,COLLEGE to KARUR,25
73,CHANDRAGIRI,22,7500,COLLEGE TO PALAPATTI,24
74,CHATHIRAM,55,10250,COLLEGE TO BHEL,1
75,CHATHIRAM (40),10,4500,COLLEGE TO KATTUPUTHUR,40
76,CHATHIRAM (VELLOOR),28,7750,COLLEGE TO THIRUPPANJEELI,17
77,CHECK POST,62,10750,COLLEGE TO BHEL,1
78,CHINNA KODUNDURAI,35,8250,COLLEGE TO SOUTH SITHAMPUR,22
79,CHINNAPETHAMPATTI,26,7750,COLLEGE TO KONDICHETTIPATTI,31
80,CHINNAREDDIPATTI,52,10250,COLLEGE TO MANAPARAI,7
81,CINNA KARAVALLI,55,10250,COLLEGE TO CINNAKARAVALLI,12
82,CINNA VEPPANAM,25,7500,              COLLEGE TO S.P.PUTHUR,36
83,CMS COLLEGE,39,8750,COLLEGE TO KANDHAMPALAYAM,4
84,COLLCTOR OFFICE,35,8250,COLLEGE TO KANDHAMPALAYAM,4
85,COURT KULITHALAI,21,7500,COLLEGE TO INUNGUR,26
86,DCTC (Kulithalai),20,6500,COLLEGE TO LALAPET,41
87,DESIYAMPATTI,40,8750,COLLEGE TO PANJAPPATTI,29
88,DEVANUR,36,8750,COLLEGE TO METTUPALAYAM,16
89,DEVANUR PUTHUR,38,8750,COLLEGE TO METTUPALAYAM,16
90,DEVARAYAPURAM,20,6500,COLLEGE TO VELAMPATTI,35
91,DEVASTHANAM,33,8250,COLLEGE TO INUNGUR,26
92,DHESIYAMANGALAM,39,8750,COLLEGE TO THOGAIMALAI,21
93,E.B. COLONY,31,8250,              COLLEGE TO S.P.PUTHUR,36
94,E.PUTTUPATTI,42,9250,COLLEGE TO NACHALUR,19
95,E.PUTTUPATTI COLONY,41,9250,COLLEGE TO NACHALUR,19
96,EARIKARAI,45,9250,COLLEGE TO THIRUPPANJEELI,17
97,ELAAI MEDU,15,5500,"COLLEGE TO MELUR, KIDARAM",39
98,ELANAGAR,47,9750,COLLEGE TO KANDHAMPALAYAM,4
99,ELLAKKAL MEDU,11,5500,COLLEGE TO PALAYAPALAYAM,30
100,ELURPATTI,2,3500,COLLEGE to KARUR,25
101,ERAGUDI,53,10250,COLLEGE TO PACHAPERUMALPATTI,6
102,ERUMAPATTI BSNL OFFICE,19,6500,COLLEGE TO PALAYAPALAYAM,30
103,ERUMAPATTI IYAR MEDU,16,6500,   COLLEGE TO ERUMAPATTI,45
104,ERUMAPATTI KADAI VEETHI,17,6500,   COLLEGE TO ERUMAPATTI,45
105,ERUMAPATTI KAIKATTI,19,6500,   COLLEGE TO ERUMAPATTI,45
106,ERUMAPATTI UNION OFFICE,18,6500,   COLLEGE TO ERUMAPATTI,45
107,ERUNAPURAM,38,8750,COLLEGE TO KANDHAMPALAYAM,4
108,ETHUMALAI ROAD,57,10500,COLLEGE TO MANACHANALLUR,9
109,ETTARAI,54,10250,COLLEGE TO ETTARAI,15
110,ETTARAI PALAM,52,10250,COLLEGE TO ETTARAI,15
111,FOREST,32,8250,COLLEGE TO METTUPALAYAM,16
112,G.H.MUSIRI,20,6500,COLLEGE TO KURUVAMPATTI,13
113,GANDHI GRAMMAM,32,8250,COLLEGE to KARUR,25
114,GANDHI NAGAR,11,5500,"COLLEGE TO MELUR, KIDARAM",39
115,GANDHI SILAI,17,6500,COLLEGE TO MOHANUR,38
116,GANDHINAGAR,22,7500,COLLEGE TO KURUVAMPATTI,13
117,GANDHIPURAM,43,9250,COLLEGE TO CINNAKARAVALLI,12
118,GANESA PURAM,28,7750,"COLLEGE TO KANNANUR,THURAIYUR",28
119,GANESAPURAM 4 ROAD,34,8250,COLLEGE TO INUNGUR,26
120,GANESHAPURAM (Thiruppanjeeli),52,10250,COLLEGE TO THIRUPPANJEELI,17
121,GANESHAPURAM PRIVU,39,8750,COLLEGE TO NACHALUR,19
122,GEETHA NAGAR,66,11000,COLLEGE TO SOMARASAMPETTAI,3
123,GOMANGALAM,40,8750,COLLEGE TO KURUVAMPATTI,13
124,GOPAL KADAI,47,9750,COLLEGE TO BELUKURICHI,10
125,GOUNDAMPATTI OTHAKADAI,46,9750,COLLEGE TO ETTARAI,15
126,GOWTHARASA NALLUR,7,4500,COLLEGE TO ARANGOOR,50
127,GUNASEELAM,38,8750,COLLEGE TO THIRUPPANJEELI,17
128,GUNDUMANI PAATTI,4,3500,COLLEGE TO VELAMPATTI,35
129,ICHICKUTTAI,49,9750,COLLEGE TO KARAVALLI,11
130,INUNGUR,40,8750,COLLEGE TO INUNGUR,26
